,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,1h_percent,24h_percent,7d_percent,30d_percent,60d_percent,90d_percent,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated
10,6636,Polkadot,DOT,polkadot-new,354,2020-08-19,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,987579314.957085,1103303471.382273,11,2022-06-22T06:01:00.000Z,7.551039545040646,400157888.5253519,-25.4149,0.14607512,-7.66205928,5.02649249,-25.79537558,-58.6050722,-64.08036167,7457250461.1051,0.8286,8331088142.59,2022-06-22T06:01:00.000Z
11,4943,Dai,DAI,multi-collateral-dai,1006,2019-11-22,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,6781676336.587318,6781676336.587318,12,2022-06-22T06:00:00.000Z,0.9999585903075303,322055635.6250272,-14.0364,-0.04888539,-0.05889478,0.00530844,-0.12591215,0.02382895,0.02920232,6781395509.455791,0.7532,6781395509.46,2022-06-22T06:00:00.000Z
12,1958,TRON,TRX,tron,639,2017-09-13,"['media', 'payments', 'tron-ecosystem', 'bnb-chain']",,92509676077.87094,92509678389.53731,13,2022-06-22T06:01:00.000Z,0.06516207299731126,673873096.6853195,-5.2248,0.44256188,2.98747023,28.78030365,-15.92657337,-3.9216959,1.22491865,6028122265.543846,0.6696,6028122416.18,2022-06-22T06:01:00.000Z
13,3957,UNUS SED LEO,LEO,unus-sed-leo,19,2019-05-21,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,953954130.0,985239504.0,14,2022-06-22T06:01:00.000Z,5.912835146638266,7788322.16598667,22.3654,-0.18612567,8.97675769,11.37380104,17.97915311,2.10653577,-2.49277277,5640573508.14473,0.6266,5825558767.11,2022-06-22T06:01:00.000Z
14,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,456,2019-01-30,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem']",,266278.72002186,266278.72002186,15,2022-06-22T06:01:00.000Z,20392.251542283608,408338939.6251783,-2.2263,-0.03832108,-2.39636423,-3.60826014,-32.62437524,-48.45629873,-52.55683939,5430022639.043079,0.6032,5430022639.04,2022-06-22T06:01:00.000Z
15,5994,Shiba Inu,SHIB,shiba-inu,364,2020-08-01,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,16,2022-06-22T06:00:00.000Z,9.78505744148275e-06,1754489324.8776248,625.9198,1.1615789,18.51556641,24.88428041,-18.25441525,-59.3379161,-60.22219064,5372615722.813477,0.5969,5770591147.8,2022-06-22T06:00:00.000Z
16,5805,Avalanche,AVAX,avalanche,268,2020-07-13,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000.0,281142271.7978643,404229626.49901325,17,2022-06-22T06:00:00.000Z,16.50343273908308,474070157.91351134,-20.0616,0.81168148,-6.27843115,7.07425813,-47.19138424,-77.70263185,-80.65567013,4639812572.729068,0.5153,11882471572.14,2022-06-22T06:00:00.000Z
17,2,Litecoin,LTC,litecoin,788,2013-04-28,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'bnb-chain']",84000000.0,70555081.27791464,84000000.0,18,2022-06-22T06:02:00.000Z,51.77835557894226,614499009.3128272,-23.4419,-0.25887863,-4.02142242,19.25137313,-27.60719627,-51.49244088,-57.614342,3653226086.3090363,0.4059,4349381868.63,2022-06-22T06:02:00.000Z
18,4195,FTX Token,FTT,ftx-token,130,2019-07-31,"['marketplace', 'centralized-exchange', 'derivatives', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio']",352170015.0,135473350.21874374,331342686.2859715,19,2022-06-22T06:01:00.000Z,26.068968943770056,106571462.32357284,-7.2635,-0.66979237,-3.5812022,13.53398594,-15.07003678,-36.72803769,-44.06597589,3531650559.560915,0.3924,9180709183.96,2022-06-22T06:01:00.000Z
19,7083,Uniswap,UNI,uniswap,380,2020-09-17,"['decentralized-exchange', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'bnb-chain']",1000000000.0,719860925.4734113,1000000000.0,20,2022-06-22T06:02:00.000Z,4.701554888966896,259081187.35755086,62.2132,-0.92374715,4.00743408,29.48322667,-15.38494014,-47.43125646,-53.97842464,3384465653.535752,0.376,4701554888.97,2022-06-22T06:02:00.000Z
